classifier,tr_precision,tr_recall,tr_f1 ,tr_accuracy,tr_cv,te_precision,te_recall,te_f1 ,te_accuracy,te_cv
LogR,0.957,0.967,0.96,0.961,0.9,1.0,1.0,1.0,1.0,0.9
SVM,0.938,0.95,0.94,0.941,0.9,0.845,0.845,0.845,0.846,0.9
RF,0.957,0.967,0.96,0.961,0.87,1.0,1.0,1.0,1.0,0.87
ETC,1.0,1.0,1.0,1.0,0.92,1.0,1.0,1.0,1.0,0.92
ETC,0.957,0.967,0.96,0.961,0.86,0.938,0.917,0.921,0.923,0.86
