classifier,tr_precision,tr_recall,tr_f1 ,tr_accuracy,tr_cv,te_precision,te_recall,te_f1 ,te_accuracy,te_cv
LogR,0.961,0.928,0.943,0.96,0.9,0.92,0.856,0.883,0.922,0.9
SVM,0.942,0.87,0.899,0.933,0.9,0.954,0.833,0.876,0.922,0.9
RF,0.992,0.997,0.995,0.996,0.88,0.92,0.856,0.883,0.922,0.88
ETC,1.0,1.0,1.0,1.0,0.89,0.907,0.823,0.855,0.906,0.9
ETC,0.997,0.992,0.994,0.996,0.89,0.869,0.813,0.836,0.891,0.89
