classifier,tr_precision,tr_recall,tr_f1 ,tr_accuracy,tr_cv,te_precision,te_recall,te_f1 ,te_accuracy,te_cv
LogR,0.956,0.953,0.953,0.953,0.76,0.965,0.966,0.965,0.965,0.76
SVM,0.961,0.959,0.96,0.96,0.8,0.974,0.976,0.975,0.975,0.8
RF,0.98,0.98,0.98,0.98,0.73,0.955,0.956,0.955,0.955,0.73
ETC,0.985,0.985,0.985,0.985,0.78,0.98,0.98,0.98,0.98,0.77
ETC,0.98,0.98,0.98,0.98,0.8,0.98,0.98,0.98,0.98,0.8
