classifier,tr_precision,tr_recall,tr_f1 ,tr_accuracy,tr_cv,te_precision,te_recall,te_f1 ,te_accuracy,te_cv
LogR,0.958,0.949,0.951,0.951,0.87,1.0,1.0,1.0,1.0,0.87
SVM,0.95,0.939,0.941,0.942,0.92,0.967,0.958,0.961,0.962,0.92
RF,0.991,0.99,0.99,0.99,0.9,0.938,0.917,0.921,0.923,0.9
ETC,0.991,0.99,0.99,0.99,0.86,1.0,1.0,1.0,1.0,0.86
ETC,0.971,0.97,0.971,0.971,0.81,1.0,1.0,1.0,1.0,0.81
