classifier,tr_precision,tr_recall,tr_f1 ,tr_accuracy,tr_cv,te_precision,te_recall,te_f1 ,te_accuracy,te_cv
LogR,0.93,0.923,0.925,0.926,0.77,0.918,0.916,0.914,0.914,0.77
SVM,0.948,0.943,0.944,0.945,0.78,0.953,0.953,0.952,0.952,0.78
RF,0.96,0.955,0.956,0.957,0.76,0.958,0.958,0.957,0.957,0.76
ETC,0.962,0.957,0.959,0.959,0.75,0.953,0.953,0.952,0.952,0.76
ETC,0.954,0.947,0.949,0.95,0.77,0.953,0.953,0.952,0.952,0.77
