classifier,tr_precision,tr_recall,tr_f1 ,tr_accuracy,tr_cv,te_precision,te_recall,te_f1 ,te_accuracy,te_cv
LogR,0.993,0.993,0.993,0.993,0.78,0.841,0.839,0.838,0.838,0.78
SVM,0.973,0.973,0.972,0.972,0.79,0.812,0.81,0.81,0.811,0.79
RF,1.0,1.0,1.0,1.0,0.74,0.787,0.785,0.784,0.784,0.74
ETC,1.0,1.0,1.0,1.0,0.78,0.891,0.868,0.863,0.865,0.77
ETC,1.0,1.0,1.0,1.0,0.81,0.838,0.838,0.838,0.838,0.81
