classifier,tr_precision,tr_recall,tr_f1 ,tr_accuracy,tr_cv,te_precision,te_recall,te_f1 ,te_accuracy,te_cv
LogR,0.986,0.987,0.986,0.986,0.92,0.962,0.929,0.942,0.947,0.92
SVM,0.959,0.957,0.958,0.958,0.93,0.962,0.929,0.942,0.947,0.93
RF,1.0,1.0,1.0,1.0,0.92,0.962,0.929,0.942,0.947,0.92
ETC,1.0,1.0,1.0,1.0,0.94,0.962,0.929,0.942,0.947,0.92
ETC,0.986,0.987,0.986,0.986,0.9,0.962,0.929,0.942,0.947,0.9
