classifier,tr_precision,tr_recall,tr_f1 ,tr_accuracy,tr_cv,te_precision,te_recall,te_f1 ,te_accuracy,te_cv
LogR,0.995,0.993,0.994,0.994,0.83,0.876,0.873,0.874,0.875,0.83
SVM,0.955,0.934,0.941,0.944,0.86,0.938,0.921,0.924,0.925,0.86
RF,0.989,0.985,0.987,0.988,0.87,0.876,0.873,0.874,0.875,0.87
ETC,0.995,0.993,0.994,0.994,0.86,0.95,0.95,0.95,0.95,0.84
ETC,0.995,0.993,0.994,0.994,0.79,0.9,0.9,0.9,0.9,0.79
