classifier,tr_precision,tr_recall,tr_f1 ,tr_accuracy,te_precision,te_recall,te_f1 ,te_accuracy
LogR,0.958,0.949,0.951,0.951,1.0,1.0,1.0,1.0
SVM,0.95,0.939,0.941,0.942,0.967,0.958,0.961,0.962
RF,0.982,0.98,0.98,0.981,0.889,0.833,0.838,0.846
ETC,0.991,0.99,0.99,0.99,1.0,1.0,1.0,1.0
ETC,0.952,0.951,0.951,0.951,0.967,0.958,0.961,0.962
