classifier,tr_precision,tr_recall,tr_f1 ,tr_accuracy,te_precision,te_recall,te_f1 ,te_accuracy
LogR,0.986,0.987,0.986,0.986,0.962,0.929,0.942,0.947
SVM,0.959,0.957,0.958,0.958,0.962,0.929,0.942,0.947
RF,1.0,1.0,1.0,1.0,0.962,0.929,0.942,0.947
ETC,1.0,1.0,1.0,1.0,0.962,0.929,0.942,0.947
ETC,0.972,0.972,0.972,0.972,0.962,0.929,0.942,0.947
