classifier,tr_precision,tr_recall,tr_f1 ,tr_accuracy,te_precision,te_recall,te_f1 ,te_accuracy
LogR,0.989,0.989,0.989,0.989,0.854,0.87,0.853,0.854
SVM,0.968,0.968,0.968,0.968,0.871,0.887,0.873,0.875
RF,1.0,1.0,1.0,1.0,0.806,0.818,0.808,0.812
ETC,1.0,1.0,1.0,1.0,0.848,0.861,0.851,0.854
ETC,1.0,1.0,1.0,1.0,0.89,0.905,0.894,0.896
