classifier,tr_precision,tr_recall,tr_f1 ,tr_accuracy,te_precision,te_recall,te_f1 ,te_accuracy
LogR,0.961,0.928,0.943,0.96,0.962,0.867,0.903,0.938
SVM,0.872,0.821,0.842,0.893,0.894,0.79,0.826,0.891
RF,0.984,0.995,0.989,0.992,0.92,0.856,0.883,0.922
ETC,1.0,1.0,1.0,1.0,0.92,0.856,0.883,0.922
ETC,0.997,0.992,0.994,0.996,0.869,0.813,0.836,0.891
