classifier,tr_precision,tr_recall,tr_f1 ,tr_accuracy,te_precision,te_recall,te_f1 ,te_accuracy
LogR,0.993,0.993,0.993,0.993,0.841,0.839,0.838,0.838
SVM,0.973,0.973,0.972,0.972,0.812,0.81,0.81,0.811
RF,1.0,1.0,1.0,1.0,0.787,0.785,0.784,0.784
ETC,1.0,1.0,1.0,1.0,0.929,0.921,0.919,0.919
ETC,1.0,1.0,1.0,1.0,0.838,0.838,0.838,0.838
