classifier,tr_precision,tr_recall,tr_f1 ,tr_accuracy,te_precision,te_recall,te_f1 ,te_accuracy
LogR,0.995,0.993,0.994,0.994,0.876,0.873,0.874,0.875
SVM,0.955,0.934,0.941,0.944,0.938,0.921,0.924,0.925
RF,0.989,0.985,0.987,0.988,0.876,0.873,0.874,0.875
ETC,0.995,0.993,0.994,0.994,0.95,0.95,0.95,0.95
ETC,0.995,0.993,0.994,0.994,0.9,0.9,0.9,0.9
